Year,Real_GDP,Labor_Force,Real_Investment,Real_Exports,Capital_Deepening_Pct,Capital_Labor_Ratio
1960,3500.273,69659.0,367.507,108.258,10.499381048278234,5275.8006861999165
1961,3590.066,70450.0,368.683,108.84,10.269532649260487,5233.257629524485
1962,3810.123,70619.0,412.505,114.334,10.826553368487053,5841.275010974384
1963,3976.142,71812.0,440.507,122.475,11.078754229602465,6134.169776639002
1964,4205.277,73077.0,475.251,136.928,11.30130072287747,6503.4278911285355
1965,4478.555,74424.0,541.026,140.763,12.08036967280741,7269.509835536923
1966,4773.931,75745.0,589.613,150.502,12.350681231044188,7784.183774506568
1967,4904.864,77348.0,568.985,153.933,11.600423579532482,7356.169519573874
1968,5145.914,78710.0,602.995,166.098,11.717937765769113,7660.970651759624
1969,5306.595,80705.0,636.58,174.199,11.996016277858024,7887.739297441299
1970,5316.391,82796.0,597.876,192.762,11.245899709031935,7221.073481810716
1971,5491.446,84376.0,659.488,196.102,12.009368752783876,7816.061439271831
1972,5780.048,87011.0,733.776,211.387,12.694981079741899,8433.140637390674
1973,6106.371,89411.0,814.066,251.168,13.331420576967892,9104.763396002729
1974,6073.363,91976.0,760.152,271.117,12.51616279152094,8264.677742019658
1975,6060.875,93770.0,637.013,269.381,10.51024810774022,6793.356084035406
1976,6387.437,96151.0,758.582,281.144,11.876156273635262,7889.486328795332
1977,6682.805,98984.0,866.804,287.901,12.970661271726467,8757.01123413885
1978,7052.711,102233.0,967.071,318.29,13.712046332254364,9459.479815715082
1979,7275.999,104961.0,1000.966,349.81,13.757093699435638,9536.55167157325
1980,7257.317,106974.0,900.25,387.475,12.404722020548366,8415.596313122815
1981,7441.485,108676.0,979.49,392.197,13.162560967333805,9012.93753910707
1982,7307.314,110244.0,856.458,362.167,11.72055833374616,7768.749319690867
1983,7642.266,111515.0,936.392,352.782,12.252805646911533,8397.004887234902
1984,8195.295,113532.0,1191.944,381.544,14.544247644532623,10498.749251312405
1985,8537.004,115467.0,1191.185,394.328,13.953197163782516,10316.237539729966
1986,8832.611,117846.0,1193.068,424.543,13.507534748218845,10123.958386368651
1987,9137.745,119853.0,1226.972,470.94,13.427514118636488,10237.307368192704
1988,9519.427,121671.0,1257.243,547.29,13.207128958497186,10333.13608008482
1989,9869.003,123851.0,1308.1,610.649,13.25463169886563,10561.884845499835
1990,10055.129,125857.0,1274.345,664.52,12.673581810835048,10125.340664404841
1991,10044.238,126352.0,1190.025,708.472,11.847837536306887,9418.331328352539
1992,10398.046,128099.0,1276.737,757.551,12.27862427229116,9966.79911630848
1993,10684.179,129185.0,1378.819,782.282,12.90524054304968,10673.21283430739
1994,11114.646,131047.0,1541.894,851.405,13.872632560677145,11765.961830488299
1995,11413.012,132315.0,1591.364,938.915,13.943418266799334,12027.086876015568
1996,11843.599,133951.0,1730.475,1015.685,14.611056993739824,12918.716545602496
1997,12370.3,136301.0,1927.831,1136.649,15.58435122834531,14143.924109140798
1998,12924.876,137680.0,2111.478,1163.198,16.336543576897757,15336.127251597909
1999,13543.774,139380.0,2290.672,1221.122,16.91309970175226,16434.7252116516
2000,14096.033,142586.0,2444.908,1322.64,17.34465292469165,17146.900817752092
2001,14230.726,143769.0,2307.396,1248.809,16.214183310113626,16049.329132149489
2002,14472.712,144856.0,2287.685,1224.411,15.806885399225798,15792.821836858673
2003,14877.313,146500.0,2386.381,1250.203,16.040403263680744,16289.290102389079
2004,15449.757,147380.0,2606.974,1370.771,16.873883518038504,17688.790880716515
2005,15987.958,149289.0,2782.236,1466.005,17.402072234615577,18636.577376765872
2006,16433.148,151409.0,2867.903,1604.922,17.451939214568014,18941.43016597428
2007,16762.446,153123.0,2796.023,1745.535,16.680280431626745,18259.98053852132
2008,16781.485,154322.0,2564.26,1846.597,15.280292536685522,16616.29579709957
2009,16349.111,154189.0,2025.29,1693.098,12.387768362451022,13135.113399788572
2010,16789.751,153885.0,2309.043,1907.258,13.752693533096473,15004.990739838191
2011,17052.411,153624.0,2463.141,2044.164,14.444532213069461,16033.568973597876
2012,17442.759,154974.0,2735.269,2126.302,15.681401090274766,17649.85739543407
2013,17812.167,155398.0,2938.666,2190.311,16.498082462397754,18910.577999716857
2014,18261.714,155920.0,3128.993,2275.784,17.134169333721903,20067.9386865059
2015,18799.622,157138.0,3323.387,2283.058,17.677945865081757,21149.480074838677
2016,19141.672,159188.0,3320.238,2293.881,17.345600739580117,20857.33849285122
2017,19612.103,160319.0,3467.664,2388.26,17.68124509645906,21629.77563482806
2018,20193.895,162078.0,3668.081,2456.423,18.16430658869921,22631.578622638484
2019,20715.672,163537.0,3783.988,2469.535,18.26630581909194,23138.421274696248
2020,20284.5,160763.0,3618.559,2157.811,17.839034730952203,22508.65559861411
2021,21532.407,161212.0,3944.358,2297.169,18.3182400369824,24466.900726993026
2022,22075.931,164286.0,4184.911,2472.061,18.956894728471475,25473.32700290956
2023,22723.719,167118.0,4219.498,2541.04,18.568694675374218,25248.6147512536
2024,23358.435,168110.0,4346.494,2633.598,18.60781340873222,25855.059187436793
2025,,,,,,
